;Spot Check Item Value List
;Filter:(Inactive  =  No)  AND (Qty  <>  0) 
;Department,Supplier,Item,Description,Qty,Cost,Price,Extended Cost,Extended Price,
02-Other Publications,ARCADIA PUBLISHING INC,275198,IMAGES OF AMER RVERS MANHATTAN,2,13.191,21.99,26.382,43.98,
02-Other Publications,ARCADIA PUBLISHING INC,274617,MIDTOWN MANHATTAN THRU TIME,1,13.792,22.99,13.792,22.99,
02-Other Publications,ARCADIA PUBLISHING INC,250490,IMAGES OF AMER ELLIS ISLAND,196,13.1927,21.99,2585.7692,4310.04,
02-Other Publications,ARCADIA PUBLISHING INC,259703,ELLIS ISL IMM SHINING ,54,14.993,24.99,809.622,1349.46,
02-Other Publications,ARCADIA PUBLISHING INC,259704,ELLIS ISL. FAMOUS IMMIGRANTS,25,13.1924,21.99,329.81,549.75,
02-Other Publications,ARCADIA PUBLISHING INC,259954,ELLIS ISLAND POSTCARDS AMER,52,4.7914,7.99,249.1528,415.48,
02-Other Publications,ARCADIA PUBLISHING INC,259700,CHILDREN OF ELLIS ISLAND,20,13.194,21.99,263.88,439.8,
02-Other Publications,ARCADIA PUBLISHING INC,276247,TUDOR CITY RESIDENTIAL ENCLAVE,2,13.194,21.99,26.388,43.98,
02-Other Publications,ARCADIA PUBLISHING INC,274618,MAHATTANS CHINATOWN PA,7,11.994,19.99,83.958,139.93,
02-Other Publications,ARCADIA PUBLISHING INC,250491,IMAGES OF AMER SOL,76,13.194,21.99,1002.744,1671.24,
02-Other Publications,ARCADIA PUBLISHING INC,274120,WORLD TRADE CENTER THROUGH TIM,11,13.792,22.99,151.712,252.89,
02-Other Publications,ARCADIA PUBLISHING INC,276041,IMAGES OF AMER NY LINERS,7,13.194,21.99,92.358,153.93,
02-Other Publications,ARCADIA PUBLISHING INC,275200,TALES OF MANHATTAN,7,13.814,22.99,96.698,160.93,
02-Other Publications,ARCADIA PUBLISHING INC,259970,STATUE LIBERTY POSTCARDS AMER,14,4.793,7.99,67.102,111.86,
02-Other Publications,ARCADIA PUBLISHING INC,275349,GHOSTS & MURDERS OF MANHATTAN,31,13.1928,21.99,408.9768,681.69,
02-Other Publications,ARCADIA PUBLISHING INC,275199,IMAGES OF AMER MANH ST SCENES,2,13.19,21.99,26.38,43.98,
02-Other Publications,ARCADIA PUBLISHING INC,273990,LOWER MANHATTAN THROUGH TIME,2,13.794,22.99,27.588,45.98,
02-Other Publications,ARCADIA PUBLISHING INC,275197,ON THE LOOSE IN NEW YORK CITY,19,7.18,14.95,136.42,284.05,
02-Other Publications,ARCADIA PUBLISHING INC,274620,LITTLE ITALY PA,25,13.194,21.99,329.85,549.75,
02-Other Publications,ARCADIA PUBLISHING INC,275346,ABANDONED NEW YORK,11,14.996,24.99,164.956,274.89,
02-Other Publications,ARCADIA PUBLISHING INC,272484,IMAGES OF AMER ELLIS SPANISH,23,13.193,21.99,303.439,505.77,
02-Other Publications,ARCADIA PUBLISHING INC,274683,HELLO NEW YORK CITY,16,5.97,9.95,95.52,159.2,
02-Other Publications,ARCADIA PUBLISHING INC,274699,LA STATUE DE LA LIBERTE PA,21,13.1719,21.99,276.6099,461.79,
02-Other Publications,ARCADIA PUBLISHING INC,274872,ITALIANS OF BROOKLYN PA,26,13.1922,21.95,342.9972,570.7,
02-Other Publications,ARCADIA PUBLISHING INC,276245,CB HISTORIC BUILDINGS OF NYC,19,7.2742,14.95,138.2098,284.05,
02-Other Publications,ARCADIA PUBLISHING INC,265464,HELLO AMERICA,46,4.775,9.95,219.65,457.7,
02-Other Publications,ARCADIA PUBLISHING INC,272485,IMAGES OF AMER ELLIS FRENCH,28,13.1924,21.99,369.3872,615.72,
02-Other Publications,ARCADIA PUBLISHING INC,272539,JOURNEY AROUND NY FROM A-Z,19,9.7516,17.95,185.2804,341.05,
02-Other Publications,ARCADIA PUBLISHING INC,273323,LA ESTATUA DE LA LIBERTAD,29,13.1921,21.99,382.5709,637.71,
02-Other Publications,ARCADIA PUBLISHING INC,274179,IMAGES OF AMER ELLIS GERMAN,15,13.1919,21.99,197.8785,329.85,
02-Other Publications,ARCADIA PUBLISHING INC,274619,LA PICCOLA ITALIA PA,17,13.1926,21.99,224.2742,373.83,
02-Other Publications,ARCADIA PUBLISHING INC,270462,ELLIS ISLAND QUIZ BOOK,24,5.991,9.99,143.784,239.76,
Toys & Games,POMEGRANATE,424607,KNOWLEDGE CARDS FLAGS OF THE V,91,5.793,12.95,527.163,1178.45,
02-Other Publications,POMEGRANATE,259900,KNOWLDG CARDS GREAT BLDS. NY ,32,5.478,14.95,175.296,478.4,
Toys & Games,POMEGRANATE,334987,KNOWLEDGE CARDS 50 STATES,87,5.583,14.95,485.721,1300.65,
Toys & Games,POMEGRANATE,426652,KNOWLEDGE CARDS CITIZEN TEST,123,5.721,14.95,703.683,1838.85,
Paper Products,POMEGRANATE,361012,POSTCARD BK NY TRAVEL POSTERS,52,5.48,10.95,284.96,569.4,
02-Other Publications,INGRAM BOOK COMPANY,243722,COMING TO AMERICA STORY IMM,30,10.0708,17.99,302.124,539.7,
02-Other Publications,INGRAM BOOK COMPANY,275210,I SURVIVED THE SINKING OF ,22,2.79,4.99,61.38,109.78,
02-Other Publications,INGRAM BOOK COMPANY,279474,NAT GEO FOR KIDS ELLIS ISLAND,4,2.79,4.99,11.16,19.96,
02-Other Publications,INGRAM BOOK COMPANY,256913,STATUE OF LIBERTY,24,4.87,6.95,116.88,166.8,
02-Other Publications,INGRAM BOOK COMPANY,259951,DENIED  DETAINED  DEPORTED,8,12.29,21.95,98.32,175.6,
02-Other Publications,INGRAM BOOK COMPANY,279473,GUIDE TO GENEALOGY,16,7.5,14.99,120,239.84,
02-Other Publications,INGRAM BOOK COMPANY,273995,MAN WHO LIT LADY LIBERTY,6,17.07,29.95,102.42,179.7,
02-Other Publications,INGRAM BOOK COMPANY,259872,ORPHAN OF ELLIS ISLAND,27,3.198,6.99,86.346,188.73,
02-Other Publications,INGRAM BOOK COMPANY,270465,FAMILY TREE MEMORY KEEPER,25,11.378,19.99,284.45,499.75,
02-Other Publications,INGRAM BOOK COMPANY,259873,ARRIVAL,12,11.964,21.99,143.568,263.88,
02-Other Publications,INGRAM BOOK COMPANY,260081,JEWS WITHOUT MONEY A NOVEL,1,9.51,16.99,9.51,16.99,
02-Other Publications,INGRAM BOOK COMPANY,265268,KIDS NP GUIDE USA,9,8.254,14.99,74.286,134.91,
02-Other Publications,INGRAM BOOK COMPANY,274610,THIS LAND IS OUR LAND ,4,13.839,24.95,55.356,99.8,
02-Other Publications,INGRAM BOOK COMPANY,262639,WOULDNT WANT SAIL ON TITANIC,3,5.57,9.95,16.71,29.85,
Crafts & Hobbies,THE POSY COLLECTION,339286,CROSS STITCH ELLIS ISLAND,26,4.5,11.95,117,310.7,
Crafts & Hobbies,THE POSY COLLECTION,339289,CROSS STITCH STATUE LBERTY,26,9.971,24.95,259.246,648.7,
Crafts & Hobbies,THE POSY COLLECTION,339287,CROSS STITCH ELLIS/STLI,15,14,44.95,210,674.25,
Crafts & Hobbies,THE POSY COLLECTION,345933,CROSS STITCH LAZARUS POEM,26,7.5,24.95,195,648.7,
Commemorative,THE STATUE OF LIBERTY ELLIS IS,430442,ORNAMENT 2018 SOLIEF,35,14.95,36.99,523.25,1294.65,
Commemorative,THE STATUE OF LIBERTY ELLIS IS,436056,ORNAMENT 2019 C LIBERTY,27,15.5,32.99,418.5,890.73,
Commemorative,THE STATUE OF LIBERTY ELLIS IS,361406,ORNAMENT STATUE 4 JULY SOLEIF,41,14.36,29.95,588.76,1227.95,
02-Other Publications,THE STATUE OF LIBERTY ELLIS IS,275981,MONUMENTAL DREAM,28,23.25,29.95,651,838.6,
Commemorative,LOVELL DESIGNS INC,340397,ORNAMENT STATUE HRBR ENAMEL,39,8.5,16.95,331.5,661.05,
02-Other Publications,SAVE ELLIS ISLAND INC,276159,FORGOTTEN ELLIS ISLAND PA,12,18,29.95,216,359.4,
Paper Products,PAPER HOUSE PRODUCTIONS,361002,STICKERS NYC 2,41,1.4,3.95,57.4,161.95,
Paper Products,PAPER HOUSE PRODUCTIONS,361003,STICKERS ELLIS ISLAND,32,1.4,3.95,44.8,126.4,
02-Other Publications,TOM BERNARDIN,220672,ELLIS ISLAND IMMIGRANT COOKBK,109,11.97,24.95,1304.73,2719.55,
Paper Products,RICHARD THOMAS PHILATELICS,420641,FIRST DAY COVER STLI DNR,2,1.5,3.95,3,7.9,
Paper Products,RICHARD THOMAS PHILATELICS,422866,FIRST DAY COVER ELLIS ISLE DNR,1,1.5,3.95,1.5,3.95,
Passport,PARKS PROJECT,425048,TRN COVER LEATHER PASSPORT BRN,6,17.821,44.95,106.926,269.7,
Commemorative,DEPARTMENT OF NATURE,421372,PIN NATIONAL PARK GEEK,28,2.99,6.95,83.72,194.6,
Commemorative,DEPARTMENT OF NATURE,421373,PATCH NATIONAL PARK GEEK,41,2.99,6.95,122.59,284.95,
Paper Products,DEPARTMENT OF NATURE,421375,DECAL NATIONAL PARK GEEK,41,1.9494,4.95,79.9254,202.95,
Commemorative,DEPARTMENT OF NATURE,421374,HIKE MEDAL NATIONAL PARK GEEK,32,4.49,8.95,143.68,286.4,
Passport,"BC&B GRAPHICS, INC.",29999,PASSPORT BOOK JR RANGER,6,2.749,14.95,16.494,89.7,
Passport,MCGOVERN MAPS,441192,FACE MASK PASSPORT BLUE,10,4.1,9.95,41,99.5,
Passport,MCGOVERN MAPS,441193,FACE MASK PASSPORT GREY,10,4.1,9.95,41,99.5,
Crafts & Hobbies,"PIGMENT & HUE, INC",431176,PUZZLE DBL PZL STLI,61,8,19.99,488,1219.39,
Paper Products,"PIGMENT & HUE, INC",423372,POSTCARD JUMBO STLI MODRN FACT,50,0.8,1.95,40,97.5,
Crafts & Hobbies,"PIGMENT & HUE, INC",380415,PUZZLE MINI STATUE OF LIBERTY,55,2.762,7.95,151.91,437.25,
Commemorative,"PIGMENT & HUE, INC",384518,PENCIL NYC SET,78,4,9.95,312,776.1,
Commemorative,"PIGMENT & HUE, INC",386530,PENCIL LIBERTY PATRICK HENRY ,173,0.3,0.92,51.9,159.16,
Crafts & Hobbies,"PIGMENT & HUE, INC",431641,PUZZLE INNERPIX STLI,44,5,12.95,220,569.8,
Crafts & Hobbies,"PIGMENT & HUE, INC",439563,PUZZLE MINI ELLIS VINTAGE,17,2.8,7.95,47.6,135.15,
Paper Products,"PIGMENT & HUE, INC",368616,STICKY NOTES NYC,9,3.2,7.95,28.8,71.55,
Paper Products,"PIGMENT & HUE, INC",420652,BOOKMARK PLEDGE ALLEGIANCE,3,0.3,0.92,0.9,2.76,
Crafts & Hobbies,"PIGMENT & HUE, INC",380413,PUZZLE MINI GREAT HALL,42,2.799,7.95,117.558,333.9,
Paper Products,"PIGMENT & HUE, INC",424583,POSTCARD EMBOSSED ELIS 3 IMAGE,87,0.8,1.95,69.6,169.65,
Commemorative,"PIGMENT & HUE, INC",438210,SPOON STLI BOX,58,6,14.95,348,867.1,
Accessories,"PIGMENT & HUE, INC",422354,POUCH STLI MODERN ZIP,56,2.8,6.95,156.8,389.2,
Crafts & Hobbies,"PIGMENT & HUE, INC",437662,PUZZLE MINI STLI 1986 COIN,34,2.8,7.95,95.2,270.3,
Paper Products,"PIGMENT & HUE, INC",439566,BOOKMARK ELLIS VINTAGE,174,0.3,0.92,52.2,160.08,
Commemorative,"PIGMENT & HUE, INC",439561,KEYCHAIN ELLIS VINTAGE,146,1.2,3.95,175.2,576.7,
Paper Products,"PIGMENT & HUE, INC",423371,POSTCARD JUMBO STLI MODERN WRD,11,0.8,1.95,8.8,21.45,
Paper Products,"PIGMENT & HUE, INC",383651,POSTCARD IMMIGRANT SLOVAKIA,170,0.4,0.95,68,161.5,
Accessories,"PIGMENT & HUE, INC",439567,POUCH ELLIS VINTAGE,20,2.8,6.95,56,139,
Commemorative,"PIGMENT & HUE, INC",422915,KEYCHAIN IMMIGRANTS,121,1.2,3.95,145.2,477.95,
Paper Products,"PIGMENT & HUE, INC",377769,"NOTEBOOK 8"" THE NEW COLOSSUS",39,4,12.95,156,505.05,
Paper Products,"PIGMENT & HUE, INC",436374,"NOTEBOOK 4"" STLI VINTAGE",57,1.6,4.95,91.2,282.15,
Paper Products,"PIGMENT & HUE, INC",368617,POSTCARDS TO COLOR NYC,75,2.4,6.95,180,521.25,
Paper Products,"PIGMENT & HUE, INC",378385,POSTCARD STICKERS AMER FLAG,23,1.2,2.95,27.6,67.85,
Paper Products,"PIGMENT & HUE, INC",383650,POSTCARD IMMIGRANT BAVARIA,119,0.4,0.95,47.6,113.05,
Paper Products,"PIGMENT & HUE, INC",382304,POSTCARD JUNIOR RANGER,52,0.4,0.95,20.8,49.4,
Paper Products,"PIGMENT & HUE, INC",385045,POSTCARD PANO NYC SKYLINE,25,1.2,2.95,30,73.75,
Paper Products,"PIGMENT & HUE, INC",383653,POSTCARD IMMIGRANT GREECE,11,0.4,0.95,4.4,10.45,
Paper Products,"PIGMENT & HUE, INC",383657,POSTCARD IMMIGRANT HOLLAND,94,0.4,0.95,37.6,89.3,
Paper Products,"PIGMENT & HUE, INC",383656,POSTCARD IMMIGRANT SCOTLAND,36,0.4,0.95,14.4,34.2,
Paper Products,"PIGMENT & HUE, INC",378824,PLACEMAT STATUE OF LIBERTY,5,2,4.95,10,24.75,
Accessories,"PIGMENT & HUE, INC",389795,MICRO CLOTH ELLIS,61,1.446,1.95,88.206,118.95,
Paper Products,"PIGMENT & HUE, INC",383655,POSTCARD IMMIGRANT RUTHENIA,241,0.4,0.95,96.4,228.95,
For The Home,"PIGMENT & HUE, INC",384422,TOWEL STATUE LIBERTY,40,5,14.95,200,598,
Paper Products,"PIGMENT & HUE, INC",370542,POSTCARD STLI ARM 5X7,86,0.4,1.95,34.4,167.7,
Paper Products,"PIGMENT & HUE, INC",370540,POSTCARD STLI PARK 5X7,86,0.4,1.95,34.4,167.7,
Paper Products,"PIGMENT & HUE, INC",370053,POSTCARD JUMBO STLI SEPIA,92,0.8,1.95,73.6,179.4,
Crafts & Hobbies,"PIGMENT & HUE, INC",368622,PUZZLE DOUBLE XTREME AM FLAG,8,8,19.95,64,159.6,
Paper Products,"PIGMENT & HUE, INC",383652,POSTCARD IMMIGRANT ALGERIA,131,0.4,0.95,52.4,124.45,
Paper Products,"PIGMENT & HUE, INC",424612,POSTCARD PANO STLI MODERN ,54,1.2,2.95,64.8,159.3,
Crafts & Hobbies,"PIGMENT & HUE, INC",326133,CARDS TO COLOR VISIT TO NY,56,4,9.95,224,557.2,
Commemorative,"PIGMENT & HUE, INC",382306,MAGNET JUNIOR RANGER,2,1.6,5.95,3.2,11.9,
Paper Products,"PIGMENT & HUE, INC",429247,STICKER JUNIOR RANGER PH,13,0.4,1,5.2,13,
Crafts & Hobbies,"PIGMENT & HUE, INC",380412,PUZZLE MINI BROOKLYN BRIDGE,16,2.701,7.95,43.216,127.2,
Commemorative,"PIGMENT & HUE, INC",436332,PATCH STLI VINTAGE,94,1.8,5.95,169.2,559.3,
Crafts & Hobbies,"PIGMENT & HUE, INC",431642,PUZZLE STLI 1000 PC,61,8,22.95,488,1399.95,
Paper Products,"PIGMENT & HUE, INC",380417,POSTCARD GERTRUDS BEAR,99,0.4,0.95,39.6,94.05,
Paper Products,"PIGMENT & HUE, INC",439565,POSTCARD ELLIS VINTAGE,580,0.3,0.92,174,533.6,
Paper Products,"PIGMENT & HUE, INC",371252,POSTCARD JUMBO GREAT HALL,5,0.8,1.95,4,9.75,
Paper Products,"PIGMENT & HUE, INC",423370,POSTCARD STLI MODERN,319,0.3,0.92,95.7,293.48,
Toys & Games,"PIGMENT & HUE, INC",379935,PLUSH GERTRUDES BEAR,112,9,22.95,1008,2570.4,
Commemorative,"PIGMENT & HUE, INC",422914,KEYCHAIN STLI VINTAGE,178,1.2,3.95,213.6,703.1,
Commemorative,"PIGMENT & HUE, INC",424611,KEYCHAIN STLI MODERN IMAGE,245,1.2,3.95,294,967.75,
Accessories,"PIGMENT & HUE, INC",422353,POUCH BROOKLYN BRIDGE ZIP,47,2.798,6.95,131.506,326.65,
Paper Products,"PIGMENT & HUE, INC",423369,BOOKMARK STLI MODERN,271,0.3,0.92,81.3,249.32,
Toys & Games,"PIGMENT & HUE, INC",371249,PLAYING CARDS VINTAGE SOL,116,2.4,6.95,278.4,806.2,
Toys & Games,"PIGMENT & HUE, INC",424579,PLAYING CARDS STLI MODERN IMAG,121,2.4,6.95,290.4,840.95,
Paper Products,"PIGMENT & HUE, INC",429155,BOOKMARK ELLIS ISLAND TOWER,242,0.3,0.92,72.6,222.64,
Commemorative,"PIGMENT & HUE, INC",439568,MAGNET ELLIS VINTAGE,622,1.6,4.95,995.2,3078.9,
Commemorative,"PIGMENT & HUE, INC",422912,LUGGAGE TAG IMMIGRANTS,43,2.8,6.95,120.4,298.85,
Commemorative,"PIGMENT & HUE, INC",383331,PENCIL LIBERTY FDR QUOTE,139,0.3,0.92,41.7,127.88,
Commemorative,"PIGMENT & HUE, INC",377622,PENCIL COLOSSUS NEW,204,0.3,0.92,61.2,187.68,
Paper Products,"PIGMENT & HUE, INC",370051,BOOKMARK STLI VINTAGE PC,252,0.3,0.92,75.6,231.84,
Paper Products,"PIGMENT & HUE, INC",420730,BOOKMARK BROOKLYN BRIDGE,312,0.3,0.92,93.6,287.04,
Commemorative,"PIGMENT & HUE, INC",389955,PEN STLI VINTAGE,301,1.2,2.95,361.2,887.95,
Commemorative,"PIGMENT & HUE, INC",422913,LUGGAGE TAG STLI VINTAGE,47,2.8,6.95,131.6,326.65,
Commemorative,"PIGMENT & HUE, INC",424584,PEN STLI MODERN IMAGE,195,1.2,2.95,234,575.25,
Paper Products,"PIGMENT & HUE, INC",389805,POSTCARD VINTAGE STLI 4X6,299,0.3,0.92,89.7,275.08,
Commemorative,"PIGMENT & HUE, INC",439562,MAGNET MINI SET ELLIS ,49,2.8,8.95,137.2,438.55,
Commemorative,"PIGMENT & HUE, INC",378821,PENCIL ALEXANDER HAMILTON,225,0.3,0.92,67.5,207,
Commemorative,"PIGMENT & HUE, INC",383333,PENCIL LIBERTY JFK QUOTE,232,0.3,0.92,69.6,213.44,
Commemorative,"PIGMENT & HUE, INC",386531,PENCIL LIBERTY G WASHINGTON,85,0.3,0.92,25.5,78.2,
For The Home,"PIGMENT & HUE, INC",384423,KITCHEN TOWEL ELLIS ISLAND,22,4,9.95,88,218.9,
Accessories,"PIGMENT & HUE, INC",422352,POUCH MINI STLI VINTAGE,69,2.8,6.95,193.2,479.55,
Crafts & Hobbies,"PIGMENT & HUE, INC",370544,PUZZLE AROUND BROOKLYN BRIDGE,11,6,14.95,66,164.45,
Paper Products,"PIGMENT & HUE, INC",370052,POSTCARD JUMBO FACES,67,0.8,1.95,53.6,130.65,
Passport,"PIGMENT & HUE, INC",424807,TRN STAMPABLE STICKR SET PSPRT,118,0.289,0.92,34.102,108.56,
Paper Products,"PIGMENT & HUE, INC",436375,"NOTEBOOK 4"" STLI MODERN",68,1.6,4.95,108.8,336.6,
Paper Products,"PIGMENT & HUE, INC",424581,POSTCARD STLI FILL IN THE BLAN,7,0.4,0.95,2.8,6.65,
Paper Products,"PIGMENT & HUE, INC",377349,ANGLE PAD NEW COLOSSUS,11,2.4,5.95,26.4,65.45,
Paper Products,"PIGMENT & HUE, INC",375252,ANGLE PAD GREAT HALL,5,2.4,5.95,12,29.75,
Crafts & Hobbies,"PIGMENT & HUE, INC",380416,PUZZLE MINI VINTAGE STATUE LIB,73,2.777,7.95,202.721,580.35,
Paper Products,"PIGMENT & HUE, INC",375253,ANGLE PAD FOOTNOTES,14,2.4,5.95,33.6,83.3,
Paper Products,"PIGMENT & HUE, INC",424580,POSTCARD NEW COLOSSUS PLAQUE,45,0.4,0.95,18,42.75,
Paper Products,"PIGMENT & HUE, INC",370050,BOOKMARK STLI PARIS SCAFFOLD,286,0.3,0.92,85.8,263.12,
Paper Products,"PIGMENT & HUE, INC",369208,POSTCARD STICKERS NYC,76,1.2,2.95,91.2,224.2,
Paper Products,"PIGMENT & HUE, INC",424582,POSTCARD EMBOSSED STLI MODEL,97,0.8,1.95,77.6,189.15,
Commemorative,"PIGMENT & HUE, INC",389954,PEN IMMIGRANT,138,1.2,2.95,165.6,407.1,
Commemorative,"PIGMENT & HUE, INC",378826,MAGNET SOL VINTAGE,430,1.6,4.95,688,2128.5,
Paper Products,"PIGMENT & HUE, INC",371251,POSTCARD IMMIGRANT FAMILY,111,0.4,1.5,44.4,166.5,
Crafts & Hobbies,"PIGMENT & HUE, INC",438158,PUZZLE ELLIS 1000PC,28,8,22.95,224,642.6,
Paper Products,"PIGMENT & HUE, INC",383654,POSTCARD IMMIGRANT GUADALOUPE,83,0.4,0.95,33.2,78.85,
Commemorative,"PIGMENT & HUE, INC",388911,PENCIL PLEDGE ALLEGIANCE,147,0.3,0.92,44.1,135.24,
Commemorative,"PIGMENT & HUE, INC",383334,PENCIL LIBERTY TUBMAN QUOTE,175,0.3,0.92,52.5,161,
Commemorative,"PIGMENT & HUE, INC",383332,PENCIL FREEDOM MANDELA,42,0.3,0.92,12.6,38.64,
Commemorative,"PIGMENT & HUE, INC",386532,PENCIL LIBERTY ALICE PAUL,161,0.3,0.92,48.3,148.12,
Commemorative,ALESSARO DESIGNS,389953,ORNAMENT ELIS & CARD,42,5.748,14.95,241.416,627.9,
Commemorative,ALESSARO DESIGNS,420642,ORNAMENT STLI AND CARD,48,5.75,14.95,276,717.6,
Accessories,DAVID HOWELL & COMPANY,422444,EARRINGS GREAT HALL CHAND GOLD,15,11.5,29.95,172.5,449.25,
Accessories,DAVID HOWELL & COMPANY,438171,EARRINGS STATUE TORCH DOMED,87,13,29.95,1131,2605.65,
Paper Products,DAVID HOWELL & COMPANY,368497,BOOKMARK CHRYSLER BUILDING,19,5.7948,14.95,110.1012,284.05,
Paper Products,DAVID HOWELL & COMPANY,383409,BOOKMARK SPRING CENTRAL PARK,41,5.8,12.95,237.8,530.95,
Paper Products,DAVID HOWELL & COMPANY,383410,BOOKMARK CENTRAL PARK BRIDGE,36,5.797,12.95,208.692,466.2,
Accessories,DAVID HOWELL & COMPANY,389944,EARRINGS LIBERTY TORCH SILVER,43,11.9925,29.95,515.6775,1287.85,
Paper Products,DAVID HOWELL & COMPANY,337001,BOOKMARK ELLISWINDOW/STATUE,282,5.8,12.95,1635.6,3651.9,
Accessories,DAVID HOWELL & COMPANY,339284,EARRINGS WROUGHT IRON,13,13.4919,29.95,175.3947,389.35,
Paper Products,DAVID HOWELL & COMPANY,361007,BOOKMARK BROOKLYN BRIDGE,35,5.7247,12.95,200.3645,453.25,
Paper Products,DAVID HOWELL & COMPANY,368496,BOOKMARK LIBRTY & EMPIRE STATE,66,5.8,12.95,382.8,854.7,
Accessories,DAVID HOWELL & COMPANY,337102,EARRINGS ELLIS ISLAND WINDOW,12,10.825,29.95,129.9,359.4,
Accessories,DAVID HOWELL & COMPANY,426774,EARRINGS STATE NORTH STAR SIL,5,13,34.95,65,174.75,
Accessories,DAVID HOWELL & COMPANY,426655,EARRINGS SUPER NOVA GOLD,11,13,34.95,143,384.45,
Accessories,DAVID HOWELL & COMPANY,426654,EARRINGS SUPER NOVA SILVER,5,13,34.95,65,174.75,
Accessories,DAVID HOWELL & COMPANY,426656,EARRINGS NORTH STAR GOLD,10,13,34.95,130,349.5,
Accessories,DAVID HOWELL & COMPANY,431654,EARRINGS CENTRAL PARK OLMS,3,13,34.95,39,104.85,
Accessories,DAVID HOWELL & COMPANY,389943,EARRINGS LIBERTY TORCH GOLD,21,11.868,29.95,249.228,628.95,
Accessories,DAVID HOWELL & COMPANY,429156,NECKLACE GREAT HALL CHAND HEMA,7,13,29.95,91,209.65,
Accessories,DAVID HOWELL & COMPANY,422443,EARRINGS GREAT HALL CHAND HEMA,70,12,29.95,840,2096.5,
Accessories,DAVID HOWELL & COMPANY,368022,EARRINGS GOD BLESS AMERICA,1,13.5,32.95,13.5,32.95,
Paper Products,DAVID HOWELL & COMPANY,340395,BOOKMARK ELLIS MAIN BUILDING,13,5.536,12.95,71.968,168.35,
Accessories,DAVID HOWELL & COMPANY,429157,NECKLACE GREAT HALL CHAND GOLD,7,13,29.95,91,209.65,
Commemorative,L.W. BRISTOL CLASSICS,317965,PIN US FLAG WAVY 13 STRIPES,71,1.8,6.95,127.8,493.45,
Commemorative,L.W. BRISTOL CLASSICS,365146,PIN NJ CROSS FLAGS,48,1.75,6.95,84,333.6,
Commemorative,L.W. BRISTOL CLASSICS,385047,PIN NY CROSSED FLAGS,83,1.75,6.95,145.25,576.85,
Commemorative,L.W. BRISTOL CLASSICS,317307,PIN FURLED AMERICAN FLAG,91,1.5,6.95,136.5,632.45,
Commemorative,L.W. BRISTOL CLASSICS,318394,PIN GREAT SEAL US,104,1.5,6.95,156,722.8,
Commemorative,L.W. BRISTOL CLASSICS,317313,PIN AMERICAN FLAG STRAIT,49,1.5,6.95,73.5,340.55,
Paper Products,RANGER DOUG'S ENTERPRISES,378387,NOTECARD STATUE OF LIBERTY BOX,6,7,16.95,42,101.7,
Paper Products,RANGER DOUG'S ENTERPRISES,378386,POSTCARD STATUE OF LIBERTY,692,0.15,0.92,103.8,636.64,
